No overnight detours for Mn-bound traffic this weekend. Weekday overnight closures resume on Monday night (10/19),overnight detours overnight closures resume,"BrooklynBridge,BkBridge",,19-10-2015,empty
"RESCHEDULED: Lane closures from exit to Second Ave and on E. 128th St, 10/19 thru 10/22 10am-2pm",rescheduled lane closures,ThirdAveBridge,,19-10-2015 to 22-10-2015,10am-2pm
REVISED: closures continuing thru 10/31 for North tube only. South tube will be open. Details:,closures continuing north tube south tube open,BatteryParkUnderpass,,31-10-2015,empty
"lane closures in both directions under W. 252nd St Bridge on 10/19 & 10/21, 11pm-5am",lane closures both bridge,HenryHudsonParkway,,19-10-2015 and 21-10-2015,11pm-5am
"REMINDER: North Tube closures this week, South Tube closures extending thru 10/24. See below:",reminder north tube closures south tube closures extending,BatteryParkUnderpass,,24-10-2015,empty
"northbound lane closures under on 10/14, 11pm-5am (weather permitting)",northbound lane closures,"HutchinsonRiverParkway,PelhamParkway",,14-10-2015,11pm-5am
"REMINDER: closed, both directions on Sun 10/11, 12:01am-6am",reminder both,"CentralPark,65thStTransverse",,11-10-2015,12:01am-6am
REMINDER: Nightly MN-bound closures extended to daytime hours this wknd: 12AM 10/10 until 5AM 10/12,reminder closures extended,BrooklynBridge,,10-10-2015,5AM
partial lane closure at 10/12 thru 10/15 11pm-6am,partial lane closure,"BrooklynBridgePromenade,ParkRow",,12-10-2015 to 15-10-2015,11pm-6am
"westbound & eastbound lane closures at 10/13 thru 10/16, 12am-5am",westbound eastbound lane closures,"BeltParkway,GerritsenInletBridge",,13-10-2015 to 16-10-2015,12am-5am
"southbound single lane closures below the ramp on 10/10, 9am-2pm",southbound lane closures,"HarlemRiverDrive,TransManhattanExpressway,TME",,10-10-2015,9am-2pm
Nightly MN-bound closures extended to daytime hours this wknd: 12AM 10/10 until 5AM 10/12.,closures extended,"BrooklynBridge,BkBridge",,10-10-2015,5AM
"full bridge closures, 10/13 thru 10/17, Tues-Fri 12:01am-5am, Sat 1am-6am. Detour info below:",full bridge detour,MetropolitanAveBridge,,13-10-2015 to 17-10-2015,12:01am-5am
under WEST 236th St Pedestrian Bridge: intermittent single lane closures overnight begins 10/9,bridge lane closures overnight,HenryHudsonPkwy,,09-10-2015,empty
under E 236th St Pedestrian Bridge: intermittent single lane closures overnight begins 10/9:,bridge lane closures overnight,HenryHudsonPkwy,,09-10-2015,empty
Rd over lane closures 10/7 11PM-5AM to repair underdeck concrete (weather permitting),lane closures repair,"EastFordham,GrandConcourse",,07-10-2015,11PM-5AM
"Lane closures from exit to Second Ave and on E. 128th St, 10/6 & 10/13 12:01am-5am weather permitting",lane closures,ThirdAveBridge,,06-10-2015 and 13-10-2015,12:01am-5am
"single lane closures Mon-Thurs starting today 10pm-12am, in addition to full closures. Details:",lane closures starting full closures,BatteryParkUnderpass,,05-10-2015,10pm-12am
Reminder: Mn-bd upper level right lane & intermittent bike path closure 10/5+10/6 11AM-4PM,reminder upper level lane path closure,ManhattanBridge,,05-10-2015 and 06-10-2015,11AM-4PM
"early morn full closures continuing: northtube thru 10/3, southtube 10/6 thru 10/10. See below:",full closures continuing northtube southtube,BatteryParkUnderpass,,06-10-2015 to 10-10-2015,empty
,,,,03-10-2015,empty
"two lane closures rescheduled for 10/6 thru 10/10, 1am-5am. Updates on",lane closures rescheduled,GerritsenInletBridge,,06-10-2015 to 10-10-2015,1am-5am
"Yes, UN General Assembly street closures continue thru 10/3. Check our weekend traffic advisory:",street closures continue,,,03-10-2015,empty
overnight detours to MN-bound traffic on 10/2 and 10/3. No closure 10/4. More Info:,overnight detours closure,"BrooklynBridge,BkBridge",,02-10-2015 and 03-10-2015 and 04-10-2015,empty
. advisory: Mn-bd upper level right lane & intermittent bike path closure 10/5+10/6 11AM-4PM,upper level lane path closure,ManhattanBridge,,05-10-2015 and 06-10-2015,11AM-4PM
"one lane closed 10am-3pm, eastbound: 10/5 thru 10/8, westbound: 10/6",lane closed eastbound westbound,9thStreetBridge,,05-10-2015 and 06-10-2015 and 08-10-2015,10am-3pm
"two southbound lane closures 10/5 thru 10/30, 11pm-5am from W 82nd St to W 72nd St",southbound lane closures,HenryHudsonPkwy,,05-10-2015 to 30-10-2015,11pm-5am
"over lane closures ten nights thru 10/24. One lane closed 12:01am-5am, two lanes closed 1am-5am",lane closures lane closed lanes closed,"BQE,OldFultonStreet",,24-10-2015,12:01am-5am
"REMINDER: under lanes closed one direction at a time tonight, 9/28 11pm-5am",reminder lanes closed,"BedforkParkBlvd,GrandConcourse",,28-09-2015,11pm-5am
"two westbound lane closures, 10/1 thru 10/3, 1am-5am",westbound lane,"BeltParkway,GerritsenInletBridge",,01-10-2015 to 03-10-2015,1am-5am
"REMINDER: under lanes closed one direction at a time tonight, 9/23 11pm-5am",reminder lanes closed,"BedforkParkBlvd,GrandConcourse",,23-09-2015,11pm-5am
"intermittent 15-min daytime full bridge closures, 9/25-10/2 7am-7pm",full bridge,RooseveltIslandBridge,,02-10-2015 and 25-09-2015,7am-7pm
Extended single lane closures continuing 9/23 on & Woodhaven Blvd Service Rds. See below:,extended lane closures continuing,"AtlanticAve,WoodhavenBlvd",,23-09-2015,empty
"REMINDER: under lanes closed one direction at a time tonight, 9/21 11pm-5am",reminder lanes closed,"BedforkParkBlvd,GrandConcourse",,21-09-2015,11pm-5am
"night lane closures in both directions over 9/22-10/3. One lane closed 11pm-5am, two lanes 1am-5am",lane closures both lane closed lanes,"BQE,OldFultonSt",,03-10-2015 and 22-09-2015,11pm-5am
"intermittent 20-min early morning closures, Sat 9/19 2am-5am.",,WillisAveBridge,,19-09-2015,2am-5am
Street closures for General Assembly begins Friday 9/18 through 10/3.,street closures,,,03-10-2015 and 18-09-2015,empty
"under closed one direction at a time on three nights - 9/21, 9/23 & 9/28 11pm-5am",closed,"BedfordParkBlvd,GrandConcourse",,21-09-2015 and 23-09-2015 and 28-09-2015,11pm-5am
REVISED: Full closure of North Tube for Fri 9/4 is cancelled. See below for continuing closures,full closure north tube cancelled continuing closures,BatteryParkUnderpass,,04-09-2015,empty
"full closure, both directions 9/2 & 9/3, 11pm-5am. Details below:",full both,"CentralPark,65thStreetTransverse",,02-09-2015 and 03-09-2015,11pm-5am
"North Tube (FDR to West St) FULLY CLOSED, one day only Fri 9/4, 12:01am-5am. Detour info below:",north tube detour,BatteryParkUnderpass,,04-09-2015,12:01am-5am
REMINDER: full bridge closures begin tonight thru 9/5. See below for details and detour info:,reminder full bridge closures detour,MetropolitanAveBridge,,05-09-2015 and 31-08-2015,empty
DOT paved 42nd St btn 1-3 Av during overnight hours. Aves were closed intermittently to pave intersections 1/2,overnight closed intersections,,,02-01-2015,empty
"one lane closure in both directions under West 246th Street Bridge 8/31 & 9/2, 11pm-5am",lane closure both street bridge,HenryHudsonParkway,,02-09-2015 and 31-08-2015,11pm-5am
"REMINDER: full closure in both directions, 8/27 and 8/28, 11pm-5am",reminder full closure both,"CentralPark,65thStTransverse",,27-08-2015 and 28-08-2015,11pm-5am
"Path closed intermittently from W59th to W63rd St, weekdays 8am-2pm thru 9/30",path closed,"ManhattanWaterfrontGreenway,BikeNYC",,30-09-2015,8am-2pm
"full bridge closure 9/1 thru 9/5, Tues-Fri 12:01am-5am, Sat 1am-6am. Detour info below:",full bridge closure detour,MetropolitanAveBridge,,01-09-2015 to 05-09-2015,12:01am-5am
eastbound & westbound early morning/daytime lane closures under continuing thru 9/25,eastbound westbound lane closures continuing,"BeltParkway,ConeyIslandAve",,25-09-2015,empty
Staten Island-bound overnight lane closures from to Ave 10 nights only 8/31 thru 10/31,overnight lane closures,"BQE,BrooklynBridge,Atlantic",,31-08-2015 to 31-10-2015,empty
south tube early AM full closures from to early AM begins tonight 12:01-5am,south tube full closures,"BatteryParkUnderpass,WestSt,FDR",,24-08-2015,12:01-5am
overnight detours to Mn-bound traffic cont tonight 8/21. No closures 8/22 8/23. More info:,overnight detours closures,"BrooklynBridge,BkBridge",,21-08-2015 and 22-08-2015 and 23-08-2015,empty
south tube from to early morning full closure begins Tues 8/25 12:01-5am,south tube full closure,"BatteryParkUnderpass,WestSt,FDR",,25-08-2015,12:01-5am
"one lane closure 8/24 thru 8/26 10:30pm-5am, full closure 8/27 & 8/28 11pm-5am",lane closure full closure,"CentralPark,65thStTransverse",,24-08-2015 to 26-08-2015,10:30pm-5am
,,,,27-08-2015 and 28-08-2015,11pm-5am
lane closures in each direction under Bridge & Bridge beginning 8/21. Details below:,lane closures bridge bridge,"BQE,WoodsideAve,69thStreet",,21-08-2015,empty
- East Approach: Legion Triangle closure beginning 8/17,east closure,CityIslandBridge,,17-08-2015,empty
Extended single lane closures continuing 8/17 on & Woodhaven Blvd Service Rds. See below:,extended lane closures continuing,"AtlanticAve,WoodhavenBlvd",,17-08-2015,empty
"one lane closure 8/17 thru 9/18, two nights a week 11pm-5am",lane closure,BostonPostRoadBridge,,17-08-2015 to 18-09-2015,11pm-5am
"extended lane closures under 44th St, 2 nights/wk thru 9/25. See below for details:",extended lane closures,GrandCentralParkway,,25-09-2015,empty
REVISED: North & South Tube lane closures 8/10 thru 9/3. See details and detour info below.,north south tube lane closures detour,BatteryParkUnderpass,,03-09-2015 and 10-08-2015,empty
"traffic shift: three westbound lanes at shifting to the right beginning 8/14, 11pm",westbound lanes,"BeltParkway,GerritsenInletBridge",,14-08-2015,11pm
"full closure 8/14 and 8/15, Fri morn 12:01am-5am, Sat morn 1am-6am. See below for detour info:",full closure detour,MetropolitanAveBridge,,14-08-2015 and 15-08-2015,12:01am-5am
